site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_89,3,soft,60,0,0,True,13.725782711939354,13.081383879047014,13.081383879047014
site_135,4,soft,60,0,0,True,21.52976932675526,19.88212223333,19.872442229341633
site_39,4,soft,60,1,0,False,11.029603150157744,8.697354306626721,6.269149343816793
site_46,4,soft,60,0,0,True,22.55324544002498,20.627531217518687,20.313130433085526
site_51,4,soft,60,1,0,False,13.787715857770856,11.281779140984053,2.5411498419026453
site_62,4,soft,60,0,0,True,17.130782642970694,15.060732824541002,15.038161315537748
site_65,4,soft,60,0,0,True,6.612787754044961,5.037548446274924,3.2050140642357468
site_68,4,soft,60,4,5,False,27.05248200440875,24.758472928777866,24.58997677116036
site_76,4,soft,60,0,4,False,29.810778969875226,28.31860078916927,28.306002754879557
site_44,5,soft,60,2,2,True,15.805515748526545,13.022137258994318,12.679397146427542
site_48,5,soft,60,2,2,True,24.532985320829166,22.4121179204694,22.406296702011602
site_52,5,soft,60,1,2,False,22.73063212829323,20.379918041053887,19.42062285649097
site_61,5,soft,60,5,2,False,29.076541371147172,25.706611332091903,-12.029144841269112
site_71,5,soft,60,4,3,False,15.537429206053611,13.768957750525965,13.229902729024662
site_72,5,soft,60,5,5,True,15.912050883393265,11.919610124562864,2.6295879771080166
site_74,5,soft,60,2,4,False,26.243327010514054,24.747525086421717,24.431369425455735
site_91,5,soft,60,2,2,True,9.14866023721758,5.938561497520406,1.6701458539243224
site_35,1,classifier_window_geo,60,5,5,True,10.357843141335414,8.319353504325303,3.04520670276929
site_36,1,classifier_window_geo,60,0,5,False,16.067439800037587,13.519833974208332,8.53494724061241
site_45,1,classifier_window_geo,60,3,3,True,13.381950044760298,10.082118199435957,3.2340271166480745
site_54,1,classifier_window_geo,60,3,5,False,18.778481495075862,15.240386288733154,-14.427928072416345
site_57,1,classifier_window_geo,60,5,5,True,15.002188119480206,11.221244006526264,-5.891430147160798
site_66,1,classifier_window_geo,60,5,0,False,13.67497800527938,12.86016096661795,12.70107008201329
site_79,1,classifier_window_geo,60,4,4,True,10.120132292354704,8.964626074252227,8.681674491159493
site_26,2,classifier_window_geo,60,3,3,True,7.674121384301696,6.584768703006085,5.004852029506196
site_49,2,classifier_window_geo,60,3,2,False,9.352409373645992,8.158922022388861,7.369701973356651
site_53,2,classifier_window_geo,60,2,2,True,13.581097184097757,10.633513574455947,-9.502160102967395
site_58,2,classifier_window_geo,60,4,2,False,15.055898598079644,11.141932935266759,-5.83733431577262
site_59,2,classifier_window_geo,60,4,2,False,21.62604217469753,15.636621655414627,-10.797024219687126
site_60,2,classifier_window_geo,60,1,1,True,8.784974195043407,6.607621116388095,0.054772765660596315
site_64,2,classifier_window_geo,60,4,2,False,16.02182293530932,13.563592274180946,10.191242741910159
site_88,2,classifier_window_geo,60,3,0,False,5.687160666709891,4.943009908061422,3.659675406325731
site_29,3,classifier_window_geo,60,1,0,False,11.925393786295597,10.755174227705977,10.367100788982208
site_43,3,classifier_window_geo,60,1,1,True,10.176864028178384,8.672660866613208,6.358937404908385
site_47,3,classifier_window_geo,60,1,0,False,8.100375655033961,6.479799525104822,2.3048592307146714
site_63,3,classifier_window_geo,60,1,4,False,17.362342289797613,14.414234448741887,9.310918761861478
site_67,3,classifier_window_geo,60,5,5,True,13.307694808214393,11.639155218605206,11.375940402924824
site_69,3,classifier_window_geo,60,5,5,True,12.78156842359969,11.18792583423061,10.470065782502784
site_70,3,classifier_window_geo,60,1,4,False,9.81165761469902,8.136644320425786,6.0046188742418005
